Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2019,Mumbai,13,Rasikh Salam,1,1,4,42,0,0,50,10.5,-,0,0,99.23809524
2019,Mumbai,14,Barinder Sran,2,2,4,51,0,0,50,12.75,-,0,0,82.43137255
2019,Rajasthan,1,ShreyasGopal,14,14,48,347,20,0,17.35,7.22,14.4,0,0,206.5041551
2019,Rajasthan,2,Jofra Archer,11,11,43,291,11,0,26.45,6.76,23.45,0,0,201.9289941
2019,Rajasthan,3,Jaydev Unadkat,11,11,37.2,398,10,0,39.8,10.66,22.4,0,0,141.0086304
2019,Rajasthan,4,Dhawal Kulkarni,10,10,35,335,6,0,55.83,9.57,35,0,0,145.4932079
2019,Rajasthan,5,Ben Stokes,9,6,16.5,189,6,0,31.5,11.22,16.83,0,0,111.6265597
2019,Rajasthan,6,Oshane Thomas,4,4,10,79,5,0,15.8,7.9,12,0,0,141.5822785
2019,Rajasthan,7,Ish Sodhi,2,2,7.1,67,4,0,16.75,9.34,10.75,0,0,118.1663812
2019,Rajasthan,8,Varun Aaron,5,5,12,116,4,0,29,9.66,18,0,0,119.5196687
2019,Rajasthan,9,Riyan Parag,7,7,14,121,2,0,60.5,8.64,42,0,0,131.7407407
2019,Rajasthan,10,Stuart Binny,8,5,7,44,1,0,44,6.28,42,0,0,167.2356688
2019,Rajasthan,11,Krishnappa Gowtham,7,7,20,166,1,0,166,8.3,120,0,0,141.4819277
2019,Rajasthan,12,Liam Livingstone,4,1,1,13,0,0,50,13,-,0,0,77.92307692
2019,RCB,1,YuzvendraChahal,14,14,49.2,386,18,0,21.44,7.82,16.44,1,0,195.0772379
2019,RCB,2,Navdeep Saini,13,13,48,397,11,0,36.09,8.27,26.18,0,0,179.9189843
2019,RCB,3,Umesh Yadav,11,11,37.5,371,8,0,46.37,9.8,28.37,0,0,147.5408163
2019,RCB,4,Mohammed Siraj,9,9,28.1,269,7,0,38.42,9.55,24.14,0,0,139.8120419
2019,RCB,5,Moeen Ali,11,9,25,169,6,0,28.16,6.76,25,0,0,178.9289941
2019,RCB,6,Washington Sundar,3,3,9,74,4,0,18.5,8.22,13.5,0,0,134.6545012
2019,RCB,7,Dale Steyn,2,2,8,69,4,0,17.25,8.62,12,0,0,128.0092807
2019,RCB,8,Pawan Negi,7,4,11.1,102,3,0,34,9.13,22.33,0,0,123.6290252
2019,RCB,9,Marcus Stoinis,10,6,16.4,145,2,0,72.5,8.7,50,0,0,133.3425287
2019,RCB,10,Kulwant Khejroliya,2,2,5,47,1,0,47,9.4,30,0,0,112.3829787
2019,RCB,11,Tim Southee,3,3,9,118,1,0,118,13.11,54,0,0,86.27765065
2019,RCB,12,Shivam Dube,4,2,1.4,8,0,0,50,4.8,-,0,0,209.7333333
2019,RCB,13,Colin de Grandhomme,4,3,5,55,0,0,50,11,-,0,0,95.90909091
2019,Hyderabad,1,KhaleelAhmed,9,9,34.5,287,19,0,15.1,8.23,11,0,0,175.0066829
2019,Hyderabad,2,Rashid Khan,15,15,60,377,17,0,22.17,6.28,21.17,0,0,236.2356688
2019,Hyderabad,3,Bhuvneshwar Kumar,15,15,59,461,13,0,35.46,7.81,27.23,0,0,200.0409731
2019,Hyderabad,4,Sandeep Sharma,11,11,42.4,352,12,0,29.33,8.25,21.33,0,0,175.6121212
2019,Hyderabad,5,Mohammad Nabi,8,8,29.1,194,8,0,24.25,6.65,21.87,1,0,187.4759398
2019,Hyderabad,6,Siddarth Kaul,7,7,27,242,6,0,40.33,8.96,27,0,0,144.6071429
2019,Hyderabad,7,Shakib Al Hasan,3,3,10.5,95,2,0,47.5,8.76,32.5,0,0,126.6552511
2019,Hyderabad,8,Shahbaz Nadeem,3,3,9,90,2,0,45,10,27,0,0,111
2019,Hyderabad,9,Vijay Shankar,15,5,8,70,1,0,70,8.75,48,0,0,123.2857143
2019,Hyderabad,10,Deepak Hooda,11,2,2,21,1,0,21,10.5,12,0,0,98.23809524
2019,Hyderabad,11,Abhishek Sharma,3,2,2,21,1,0,21,10.5,12,0,0,98.23809524
2019,Hyderabad,12,Yusuf Pathan,10,1,1,8,0,0,50,8,-,0,0,126
2019,Hyderabad,13,Basil Thampi,3,3,12,110,0,0,50,9.16,-,0,0,121.1703057
2018,CSK,1,ShardulThakur,13,13,46.4,431,16,0,26.93,9.23,17.5,0,0,170.7423619
2018,CSK,2,Dwayne Bravo,16,16,53.3,533,14,0,38.07,9.96,22.92,0,0,167.7016064
2018,CSK,3,Lungi Ngidi,7,7,26,156,11,0,14.18,6,14.18,1,0,203.6666667
2018,CSK,4,Ravindra Jadeja,16,14,41,303,11,0,27.54,7.39,22.36,0,0,187.3179973
